Team,Date,Year,MATCHUP,Home/Away,W/L,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MIL,8/18/20,2020,MIL vs. ORL,FALSE,L,239,110,39,90,43.3,25,48,52.08333333,14,42,33.3,18,28,64.3,11,36,47,28,6,3,16,19,-12
MIA,8/18/20,2020,MIA @ IND,TRUE,W,241,113,40,81,49.4,27,46,58.69565217,13,35,37.1,20,25,80,6,29,35,22,8,7,9,17,12
LAL,8/18/20,2020,LAL vs. POR,FALSE,L,240,93,34,97,35.1,29,65,44.61538462,5,32,15.6,20,31,64.5,17,38,55,22,11,4,9,23,-7
IND,8/18/20,2020,IND vs. MIA,FALSE,L,241,101,36,76,47.4,26,52,50,10,24,41.7,19,22,86.4,7,30,37,22,7,4,13,23,-12
HOU,8/18/20,2020,HOU vs. OKC,FALSE,W,239,123,43,89,48.3,23,37,62.16216216,20,52,38.5,17,19,89.5,4,32,36,25,4,1,7,26,15
UTA,8/17/20,2020,UTA @ DEN,TRUE,L,265,125,46,97,47.4,30,50,60,16,47,34,17,23,73.9,16,36,52,18,6,4,15,22,-10
TOR,8/17/20,2020,TOR vs. BKN,FALSE,W,239,134,40,85,47.1,18,41,43.90243902,22,44,50,32,33,97,9,38,47,26,4,6,11,22,24
PHI,8/17/20,2020,PHI @ BOS,TRUE,L,239,101,37,80,46.3,28,53,52.83018868,9,27,33.3,18,23,78.3,15,35,50,23,5,3,18,24,-8
LAC,8/17/20,2020,LAC vs. DAL,FALSE,W,237,118,45,95,47.4,32,57,56.14035088,13,38,34.2,15,20,75,11,34,45,18,12,3,11,24,8
DEN,8/17/20,2020,DEN vs. UTA,FALSE,W,263,135,49,95,51.6,27,54,50,22,41,53.7,15,18,83.3,8,33,41,23,10,6,11,22,10
DAL,8/17/20,2020,DAL @ LAC,TRUE,L,240,110,37,81,45.7,22,38,57.89473684,15,43,34.9,21,24,87.5,5,36,41,18,9,2,21,21,-8
BOS,8/17/20,2020,BOS vs. PHI,FALSE,W,239,109,38,90,42.2,28,59,47.45762712,10,31,32.3,23,26,88.5,16,27,43,22,12,4,7,21,8
BKN,8/17/20,2020,BKN @ TOR,TRUE,L,238,110,43,92,46.7,30,50,60,13,42,31,11,16,68.8,9,36,45,33,4,2,14,29,-24
